Название;Бренд;Категория;Цена_итог;Фасовка_прайс;Описание;Состав_ДВ;Норма_расхода;Культуры_и_фазы;Фасовка_каталог;Физпоказатели;Источник;Сверить;Есть_техданные
Relict Макро PK;Реликт;Удобрения;Цена по запросу;;Фосфорно-калийное удобрение для налива и качества урожая.;"Азот общий 65–90 г/л · фосфор (P2O5) 410–450 г/л · калий (K2O) 140–150 г/л; плотность 1,35–1,45 г/см³, рН 6,5–7,5";Листовая подкормка;"Все культуры; особенно масличные — подсолнечник, рапс, соя";;Плотность 1,35–1,45 г/см³, рН 6,5–7,5;Каталог ГК «Генезис» (2026);нормы;да
OYYO Альфа Аминостарт;OYYO;Удобрения;Цена по запросу;;Органоминеральное удобрение с аминокислотами для стартового развития.;"Гуминовые и фульвовые кислоты ≥10% · N общий 0,7% (мочевинный 0,1, аммонийный 0,1, нитратный 0,5) · P 0,5% · K 1,5% · Mg 0,08% · Ca 0,1% · Mn 0,0007% · Cu 0,0001% · Zn 0,0003% · Fe 0,07% · комплекс аминокислот и пептидов; рН 9,5–10,0";;Все сельхозкультуры;1 л, 5 л;Жидкое органоминеральное, рН 9,5–10,0;Каталог ГК «Генезис» (2026);нормы;да
OYYO Альфа Аминобиостим;OYYO;Удобрения;Цена по запросу;;Органоминеральное удобрение для активного роста и восстановления.;"Гуминовые и фульвовые кислоты ≥10% · N общий 12% (мочевинный 8, аммонийный 2, нитратный 2) · P 4% · K 4% · Mg 0,08% · Ca 0,1% · Mn 0,01% · Cu 0,01% · Zn 0,01% · B 0,02% · Mo 0,01% · Fe 0,1% · аминокислоты и пептиды 2,0%; рН 6,3–6,8";;Все сельхозкультуры;1 л, 5 л;Жидкое органоминеральное, рН 6,3–6,8;Каталог ГК «Генезис» (2026);нормы;да
OYYO Альфа Аминофиниш;OYYO;Удобрения;Цена по запросу;;Высококалийное органоминеральное удобрение для налива урожая.;"Гуминовые и фульвовые кислоты ≥10% · N общий 6% · P 4% · K 12% · S 4% · Mg 0,08% · Ca 0,1% · Mn 0,01% · Cu 0,001% · Zn 0,01% · B 0,02% · Mo 0,01% · Fe 0,1% · аминокислоты и пептиды 1,0%; рН 7,4–8,0";;Все сельхозкультуры — финальные стадии;1 л, 5 л;Жидкое органоминеральное, рН 7,4–8,0;Каталог ГК «Генезис» (2026);нормы;да
OYYO Альфа Старт;OYYO;Удобрения;Цена по запросу;;Органоминеральное удобрение для начальных фаз роста и корней.;"Гуминовые и фульвовые кислоты ≥10% · N общий 0,7% · P 0,5% · K 1,5% · Mg 0,08% · Ca 0,1% · Mn 0,0007% · Cu 0,0001% · Zn 0,0003% · Fe 0,07% · комплекс аминокислот и пептидов; рН 9,5–10,0";;Все сельхозкультуры;1 л, 5 л;Жидкое органоминеральное, рН 9,5–10,0;Каталог ГК «Генезис» (2026);нормы;да
OYYO Биогель Амино;OYYO;Удобрения;Цена по запросу;;Органоминеральное удобрение с аминокислотами и гуминовыми веществами.;N общий 5,4% (аммонийный 1,4, нитратный 4) · P 4,6% · K 15% · Ca 0,12% · S 5,1% · органическое вещество ≥1% (лизин, треонин, гуминовые и фульвовые кислоты) · индолилуксусная кислота 0,2%;;Все сельхозкультуры;1 л, 5 л;Гранулированное комплексное;Каталог ГК «Генезис» (2026);нормы;да
OYYO Биогель Профи;OYYO;Удобрения;Цена по запросу;;Комплексное органоминеральное удобрение с макро- и микроэлементами.;N общий 12,4% (аммонийный 2,8, нитратный 9,6) · P 13,8% · K 5% · Mg 0,3% · S 1,7% · Fe 0,013% · Mn 0,01% · Cu 0,002% · Mo 0,001% · B 0,005% · органическое вещество ≥5% · ИУК 0,2%;;Все сельхозкультуры;1 л, 5 л;Гранулированное комплексное;Каталог ГК «Генезис» (2026);нормы;да
OYYO Биогель Биостим;OYYO;Удобрения;Цена по запросу;;Комплексное удобрение с повышенным калием и органическими компонентами.;N общий 7,2% (аммонийный 1,4, нитратный 5,8) · P 9,2% · K 25% · Ca 0,22% · Mg 1,5% · S 8,3% · органическое вещество ≥1% · индолилуксусная кислота 0,2%;;Все сельхозкультуры;1 л, 5 л;Гранулированное комплексное;Каталог ГК «Генезис» (2026);нормы;да
OYYO Биогель Форте;OYYO;Удобрения;Цена по запросу;;NPK-удобрение с органическими веществами и стимуляторами роста.;N общий 10% (аммонийный 5, нитратный 5) · P 10% · K 10% · органическое вещество ≥1% · индолилуксусная кислота 0,2%;;Все сельхозкультуры;1 л, 5 л;Гранулированное комплексное;Каталог ГК «Генезис» (2026);нормы;да
OYYO Биогель Актив;OYYO;Удобрения;Цена по запросу;;Фосфорное органоминеральное удобрение для корней и стартовых процессов.;N общий 14,4% · P 40% · K 3,3% · S 0,45% · Fe 0,013% · Mn 0,01% · Cu 0,002% · Mo 0,001% · B 0,005% · органическое вещество ≥5% · ИУК 0,2%;;Все сельхозкультуры — стартовые стадии;1 л, 5 л;Гранулированное комплексное;Каталог ГК «Генезис» (2026);нормы;да
OYYO Биогель Универсал;OYYO;Удобрения;Цена по запросу;;Универсальное комплексное удобрение для различных культур.;N общий 5% (аммонийный 2,5, нитратный 2,5) · P 5% · K 5% · органическое вещество ≥1% · индолилуксусная кислота 0,2%;;Все сельхозкультуры;1 л, 5 л;Гранулированное комплексное;Каталог ГК «Генезис» (2026);нормы;да
OYYO Биогель Старт;OYYO;Удобрения;Цена по запросу;;Стартовое удобрение с фосфором и кальцием для корневой системы.;N общий 3,6% · P 24% · Ca 4,8% · Mg 0,3% · S 4,8% · органическое вещество ≥1% · индолилуксусная кислота 0,2%;;Все сельхозкультуры — стартовые стадии;1 л, 5 л;Гранулированное комплексное;Каталог ГК «Генезис» (2026);нормы;да
OYYO Биогель Комплекс;OYYO;Удобрения;Цена по запросу;;Комплексное органоминеральное удобрение с макро- и микроэлементами.;N общий 7% (аммонийный 2,8, нитратный 4,2) · P 10,3% · K 3,3% · Fe 0,013% · Mn 0,01% · Cu 0,002% · Mo 0,001% · B 0,005% · органическое вещество ≥1% · ИУК 0,2%;;Все сельхозкультуры;1 л, 5 л;Гранулированное комплексное;Каталог ГК «Генезис» (2026);нормы;да
